threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.3,0.925,0.8695652173913043,1.0,0.9302325581395349,34,6,0,40
0.4,0.95,0.9090909090909091,1.0,0.9523809523809523,36,4,0,40
0.5,0.9625,0.9302325581395349,1.0,0.963855421686747,37,3,0,40
0.6,0.9625,0.9302325581395349,1.0,0.963855421686747,37,3,0,40
0.7,0.975,0.9523809523809523,1.0,0.975609756097561,38,2,0,40
0.8,0.95,0.95,0.95,0.95,38,2,2,38
0.9,0.9375,0.9487179487179487,0.925,0.9367088607594937,38,2,3,37
